Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
"temporomandibular disorder, including TMJ",,"temporomandibular disorder |
TMJ |
TMD",temporomandibular disorder,TMJ,,,,,,,,,,,"temporomandibular disorder, including TMJ",,,,,,249481,Dental and Oral - Musculoskeletal,9905,temporomandibular disorder (TMD),DBQ MUSC Temporomandibular Disorders,no,Active,Active,v1.0,,,v1.3,,,"v1.3 Add synonym ""TMD"""
tendinosis in hand or fingers,"left, right, bilateral","tendinosis in hand |
tendinosis in fingers",tendinosis in hand,tendinosis in fingers,,,,,,,,,,,"tendinosis in hand or fingers, right","tendinosis in hand or fingers, left","tendinosis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in ankle,"left, right, bilateral","tendinitis in ankle |
tendonitis in ankle",tendinitis in ankle,tendonitis in ankle,,,,,,,,,,,"tendonitis (tendinitis) in ankle, right","tendonitis (tendinitis) in ankle, left","tendonitis (tendinitis) in ankle, bilateral",,,,8991,Musculoskeletal - Ankle,Multiple,Ankle DC Group,DBQ MUSC Ankle,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in elbow,"left, right, bilateral","tendonitis in elbow |
tendinitis in elbow",tendonitis in elbow,tendinitis in elbow,,,,,,,,,,,"tendonitis (tendinitis) in elbow, right","tendonitis (tendinitis) in elbow, left","tendonitis (tendinitis) in elbow, bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in foot,"left, right, bilateral","tendonitis in foot |
tendinitis in foot",tendonitis in foot,tendinitis in foot,,,,,,,,,,,"tendonitis (tendinitis) in foot, right","tendonitis (tendinitis) in foot, left","tendonitis (tendinitis) in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in hand or fingers,"left, right, bilateral","tendonitis in hand |
tendinitis in hand |
tendonitis in fingers |
tendinitis in fingers",tendonitis in hand,tendinitis in hand,tendonitis in fingers,tendinitis in fingers,,,,,,,,,"tendonitis (tendinitis) in hand or fingers, right","tendonitis (tendinitis) in hand or fingers, left","tendonitis (tendinitis) in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in hip,"left, right, bilateral","tendonitis in hip |
tendinitis in hip",tendonitis in hip,tendinitis in hip,,,,,,,,,,,"tendonitis (tendinitis) in hip, right","tendonitis (tendinitis) in hip, left","tendonitis (tendinitis) in hip, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in knee,"left, right, bilateral","tendonitis in knee |
tendinitis in knee",tendonitis in knee,tendinitis in knee,,,,,,,,,,,"tendonitis (tendinitis) in knee, right","tendonitis (tendinitis) in knee, left","tendonitis (tendinitis) in knee, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in shoulder,"left, right, bilateral","tendonitis in shoulder |
tendinitis in shoulder",tendonitis in shoulder,tendinitis in shoulder,,,,,,,,,,,"tendonitis (tendinitis) in shoulder, right","tendonitis (tendinitis) in shoulder, left","tendonitis (tendinitis) in shoulder, bilateral",,,,9002,Musculoskeletal - Shoulder,Multiple,Shoulder and Arm DC Group,DBQ MUSC Shoulder and arm,no,Active,Active,v1.0,,,,,,
tendonitis (tendinitis) in wrist,"left, right, bilateral","tendonitis in wrist |
tendinitis in wrist",tendonitis in wrist,tendinitis in wrist,,,,,,,,,,,"tendonitis (tendinitis) in wrist, right","tendonitis (tendinitis) in wrist, left","tendonitis (tendinitis) in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
tennis elbow (lateral epicondylitis),"left, right, bilateral","tennis elbow |
lateral epicondylitis",tennis elbow,lateral epicondylitis,,,,,,,,,,,"tennis elbow (lateral epicondylitis), right","tennis elbow (lateral epicondylitis), left","tennis elbow (lateral epicondylitis), bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,,,,
tenosynovitis in hand or fingers,"left, right, bilateral","tenosynovitis in hand |
tenosynovitis in fingers",tenosynovitis in hand,tenosynovitis in fingers,,,,,,,,,,,"tenosynovitis in hand or fingers, right","tenosynovitis in hand or fingers, left","tenosynovitis in hand or fingers, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
tenosynovitis in wrist,"left, right, bilateral",,,,,,,,,,,,,,"tenosynovitis in wrist, right","tenosynovitis in wrist, left","tenosynovitis in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
testicular cancer,"left, right, bilateral",,,,,,,cancer - testicle,testicular cancer,,,,,,"testicular cancer, right","testicular cancer, left","testicular cancer, bilateral",,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Male Reproductive Organ,yes,Active,Active,v1.0,,v1.1,,Replaced with right/left/bilateral variations,,
thrombocytopenia,,,,,,,,,,,,,,,,,,,,,8981,Hemic and Lymphatic,,,,,Inactive,Active,v0.1,v1.0,,,,,
thyroid cancer,,,,,,,,cancer - thyroid,,,,,,,thyroid cancer,,,,,,8933,Cancer - Endocrine,7914,malignant growth of the endocrine system,DBQ ENDO Thyroid & Parathyroid,yes,Active,Active,v1.1,,,,,,
tibia or fibula fracture,"left, right, bilateral","tibia fracture |
fibula fracture",tibia fracture,fibula fracture,,,,,,,,,,,"tibia or fibula fracture, right","tibia or fibula fracture, left","tibia or fibula fracture, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
Tietze syndrome,,,,,,,,,,,,,,,Tietze syndrome,,,,,,249482,Musculoskeletal - Bones,5297,removal of rib(s),DBQ MUSC Bones and Other Skeletal Conditions,no,Active,Active,v1.0,,,,,,
tinnitus (ringing or hissing in ears),,"tinnitus |
ringing in ears |
hissing in ears |
tinnitus, recurrent",tinnitus,ringing in ears,hissing in ears,"tinnitus, recurrent",,tinnitus,ears-ringing,ringing in ears,,,,,tinnitus (ringing or hissing in ears),,,,,,3140,Hearing Loss,6260,tinnitus,DBQ AUDIO Hearing Loss and Tinnitus,no,Active,Active,v1.0,,,v1.2,,,
tongue cancer,,,,,,,,cancer - tongue,,,,,,,tongue cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,
trachea cancer (cancer of windpipe),,"trachea cancer |
cancer of windpipe",trachea cancer,cancer of windpipe,,,,cancer - trachea,,,,,,,trachea cancer (cancer of windpipe),,,,,,1230,Cancer - Respiratory,6819,malignant growths of the respiratory system,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,
traumatic brain injury (TBI),,"traumatic brain injury |
TBI",traumatic brain injury,TBI,,,,Traumatic Brain Injury,,,,,,,traumatic brain injury (TBI),,,,,,9020,Traumatic Brain Injury,8045,residuals of traumatic brain injury (TBI),DBQ NEURO Initial Evaluation of TBI,no,Active,Active,v1.0,,,,,,
trigger finger,"left, right, bilateral",,,,,,,,,,,,,,"trigger finger, right","trigger finger, left","trigger finger, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
Tuberculosis,,,,,,,,,,,,,,,,,,,,,6890,Tuberculosis,,,,,Inactive,Active,v0.1,v1.0,,,,,
typhoid arthritis,,,,,,,,,,,,,,,typhoid arthritis,,,,,,8992,Musculoskeletal - Arthritis,5006,typhoid arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
ulcerative colitis,,,,,,,,colitis,peptic ulcer disease,ulcer condition,,,,,ulcerative colitis,,,,,,8968,Digestive,7323,ulcerative colitis,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v1.0,,,,,,
Unemployability,,,,,,,,,,,,,,,,,,,,,6990,Unemployability,,,,,Inactive,Active,v0.1,v1.0,,,,,
ureteral cancer (ureter cancer),,"ureteral cancer |
ureter cancer",ureteral cancer,ureter cancer,,,,cancer - ureters,cancer - urethra,cancer - urinary tract,,,,,ureteral cancer (ureter cancer),,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,
urethritis,,,,,,,,,,,,,,,urethritis,,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,
urinary incontinence (loss of bladder control),,"urinary incontinence |
loss of bladder control",urinary incontinence,loss of bladder control,,,,,,,,,,,urinary incontinence (loss of bladder control),,,,,,8975,Genitourinary,7517,injury of bladder,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,
uterine cancer,,,,,,,,choriocarcinoma,,,,,,,uterine cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,
uterus (displacement of),,,,,,,,uterus (prolapse),,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
vaginal cancer,,,,,,,,,,,,,,,vaginal cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,
vaginitis,,,,,,,,vulvovaginitis,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
varicocele,"left, right, bilateral",,,,,,,,,,,,,,"varicocele, right","varicocele, left","varicocele, bilateral",,,,8975,Genitourinary,7543,varicocele/Hydrocele,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,
varicose veins in leg,"left, right, bilateral",,,,,,,,,,,,,,"varicose veins in leg, right","varicose veins in leg, left","varicose veins in leg, bilateral",,,,8987,Leg Condition - Heart/Veins/Arteries,7120,varicose veins,DBQ CARDIO Artery & Veins,no,Active,Active,v1.0,,v1.2,,replaced with terms with r/l/bilateral,,
"varicose veins, other than in leg",,,,,,,,,,,,,,,"varicose veins, other than in leg",,,,,,8979,Heart/Veins/Arteries,7120,varicose veins,DBQ CARDIO Artery & Veins,no,Inactive,Active,v1.0,v1.2,,,,,
"vascular soft-tissue sarcoma, including angiosarcoma ","head or neck, extremities or trunk","vascular soft-tissue sarcoma |
angiosarcoma",vascular soft-tissue sarcoma,angiosarcoma,,,,,,,,,,,"vascular soft-tissue sarcoma, including angiosarcoma, head or neck ","vascular soft-tissue sarcoma, including angiosarcoma, extremities or trunk",,,,,8938,Cancer - Heart/Veins/Arteries,7123,soft-tissue sarcoma (of vascular origin),DBQ CARDIO Artery & Veins,"yes, if head or neck",Active,Active,v1.1,,,,,,
ventral hernia (hernia in abdomen),,"ventral hernia |
hernia in abdomen",ventral hernia,hernia in abdomen,,,,"hernia, ventral",,,,,,,ventral hernia (hernia in abdomen),,,,,,8968,Digestive,7338,"hernia, including femoral, inguinal, umbilical, ventral","DBQ GI Hernias (Including Abdominal, Inguinal, and Femoral Hernias)",no,Active,Active,v1.0,,,,,,
ventricular hypertrophy,,,,,,,,,,,,,,,right ventricular hypertrophy (RVH),left ventricular hypertrophy (LVH),biventricular hypertrophy,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
vertigo or dizziness,,"dizziness |
peripheral vestibular disorder |
PVD |
vertigo",,,,,,,,,,,,,vertigo or dizziness,,,,,,8969,Ear Disease and Other Sense Organs,6204 or 6205,auditory: diseases of the ear group,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.3,,,,,,
"visual impairment, including blurry vision, blindness and double vision",,"visual impairment |
blurry vision |
blindness |
double vision",visual impairment,blurry vision,blindness,double vision,,blindness (including light perception only),visually impaired,,,,,,"visual impairment, including blurry vision, blindness and double vision",,,,,,8974,Eye (Vision),Multiple,Visual Impairment DC Group,DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,
vitiligo,,,,,,,,,,,,,,,vitiligo,,,,,,9016,Skin,7823,vitiligo,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
vulvar cancer,,,,,,,,,,,,,,,vulvar cancer,,,,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,
weak foot,"left, right, bilateral",,,,,,,,,,,,,,"weak foot, right","weak foot, left","weak foot, bilateral",,,,8994,Musculoskeletal - Foot,5277,"weak foot condition, bilateral",DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,1.2,,,,Added right/left variations in v1.2
Wolff-Parkinson-White syndrome,,,,,,,,,,,,,,,Wolff-Parkinson-White syndrome,,,,,,8979,Heart/Veins/Arteries,7010,supraventricular tachycardia,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
"Wound, Bullet/Shell Fragment",,,,,,,,,,,,,,,,,,,,,9021,"Wound, Bullet/Shell Fragment",,,,,Inactive,Active,v0.1,v1.0,,,,,
wrist fracture,"left, right, bilateral",,,,,,,,,,,,,,"wrist fracture, right","wrist fracture, left","wrist fracture, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
wrist replacement (wrist arthroplasty),"left, right, bilateral","wrist replacement |
wrist arthroplasty |
wrist replacement (prosthesis)",wrist replacement,wrist arthroplasty,wrist replacement (prosthesis),,,,,,,,,,"wrist replacement (wrist arthroplasty), right","wrist replacement (wrist arthroplasty), left","wrist replacement (wrist arthroplasty), bilateral",,,,9004,Musculoskeletal - Wrist,5053,wrist replacement,DBQ MUSC Wrist,no,Active,Active,v1.0,,v1.2,,,,
wrist sprain,"left, right, bilateral",,,,,,,,,,,,,,"wrist sprain, right","wrist sprain, left","wrist sprain, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
wrist strain,,,,,,,,,,,,,,,,,,,,,9004,Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,v1.0,,,,,
yellow fever,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
